idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3297,-3.2746353149414062,-3.1934781074523926,-6.434746742248535,-6.394882678985596,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3298,-3.379453420639038,-2.874528169631958,-6.9787187576293945,-6.569741249084473,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3299,-3.2746353149414062,-3.1934781074523926,-6.127034664154053,-5.7157440185546875,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
3300,-3.379453420639038,-2.874528169631958,-6.403579235076904,-6.275270462036133,-4.553300857543945,-4.409271240234375,-4.63140344619751,-4.2764177322387695
3301,-5.292238712310791,-4.824856758117676,-3.1519479751586914,-3.172377347946167,-4.071863174438477,-4.045335292816162,-3.0666861534118652,-3.200258731842041
3302,-5.410962104797363,-5.283565044403076,-3.5224480628967285,-3.103817939758301,-4.045335292816162,-4.071863174438477,-3.200258731842041,-3.0666861534118652
3303,-5.292238712310791,-4.824856758117676,-6.434746742248535,-6.394882678985596,-4.071863174438477,-4.045335292816162,-4.3364105224609375,-4.452452659606934
3304,-5.410962104797363,-5.283565044403076,-6.9787187576293945,-6.569741249084473,-4.045335292816162,-4.071863174438477,-4.452452659606934,-4.3364105224609375
3305,-5.292238712310791,-4.824856758117676,-6.127034664154053,-5.7157440185546875,-4.071863174438477,-4.045335292816162,-4.2764177322387695,-4.63140344619751
3306,-5.410962104797363,-5.283565044403076,-6.403579235076904,-6.275270462036133,-4.045335292816162,-4.071863174438477,-4.63140344619751,-4.2764177322387695
3307,-3.856234550476074,-3.87783145904541,-3.1519479751586914,-3.172377347946167,-2.9296844005584717,-3.1533093452453613,-3.0666861534118652,-3.200258731842041
3308,-4.176180839538574,-3.5261709690093994,-3.5224480628967285,-3.103817939758301,-3.1533093452453613,-2.9296844005584717,-3.200258731842041,-3.0666861534118652
3309,-3.856234550476074,-3.87783145904541,-6.434746742248535,-6.394882678985596,-2.9296844005584717,-3.1533093452453613,-4.3364105224609375,-4.452452659606934
3310,-4.176180839538574,-3.5261709690093994,-6.9787187576293945,-6.569741249084473,-3.1533093452453613,-2.9296844005584717,-4.452452659606934,-4.3364105224609375
