idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
119,-10.385805130004883,-9.614555358886719,-8.152993202209473,-8.463591575622559,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
120,-8.735687255859375,-8.807853698730469,-8.725762367248535,-7.850773334503174,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
121,-5.939261436462402,-5.415208339691162,-5.941484451293945,-5.795175552368164,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
122,-6.6433000564575195,-6.041413307189941,-6.216378688812256,-5.359079837799072,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
123,-5.939261436462402,-5.415208339691162,-8.380987167358398,-8.648969650268555,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
124,-6.6433000564575195,-6.041413307189941,-9.267996788024902,-7.476311683654785,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
125,-5.939261436462402,-5.415208339691162,-8.152993202209473,-8.463591575622559,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
126,-6.6433000564575195,-6.041413307189941,-8.725762367248535,-7.850773334503174,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
127,-6.915216445922852,-7.163971900939941,-5.280192852020264,-6.190544128417969,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
128,-6.781116008758545,-5.952137470245361,-5.443991184234619,-4.951664924621582,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
129,-6.915195941925049,-7.16395378112793,-8.75620174407959,-9.602684020996094,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
130,-6.781110763549805,-5.952133655548096,-9.10706615447998,-7.895171165466309,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
131,-6.915195941925049,-7.16395378112793,-8.2561674118042,-8.38419246673584,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
132,-6.781110763549805,-5.952133655548096,-8.19248104095459,-6.728022575378418,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
133,-10.083219528198242,-9.116158485412598,-5.280173301696777,-6.190530300140381,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
134,-7.557438850402832,-7.576684951782227,-5.444000244140625,-4.951667785644531,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
135,-10.083219528198242,-9.116158485412598,-8.75620174407959,-9.602684020996094,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
136,-7.557438850402832,-7.576684951782227,-9.10706615447998,-7.895171165466309,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
137,-10.083219528198242,-9.116158485412598,-8.2561674118042,-8.38419246673584,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
138,-7.557438850402832,-7.576684951782227,-8.19248104095459,-6.728022575378418,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
139,-6.109046936035156,-6.123510837554932,-5.280173301696777,-6.190530300140381,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
140,-6.806245803833008,-5.700356960296631,-5.444000244140625,-4.951667785644531,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
141,-6.109046936035156,-6.123510837554932,-8.75620174407959,-9.602684020996094,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
142,-6.806245803833008,-5.700356960296631,-9.10706615447998,-7.895171165466309,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
143,-6.109046936035156,-6.123510837554932,-8.2561674118042,-8.38419246673584,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
144,-6.806245803833008,-5.700356960296631,-8.19248104095459,-6.728022575378418,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
145,-4.812509059906006,-4.1498188972473145,-4.861018657684326,-4.6546220779418945,-3.518221855163574,-3.642920732498169,-2.9246654510498047,-3.0696446895599365
146,-5.755647659301758,-5.463458061218262,-6.01054573059082,-5.409002304077148,-3.642920732498169,-3.518221855163574,-3.0696446895599365,-2.9246654510498047
147,-4.812509059906006,-4.1498188972473145,-7.52147912979126,-7.644892692565918,-3.518221855163574,-3.642920732498169,-3.7241716384887695,-3.9862327575683594
148,-5.755647659301758,-5.463458061218262,-8.870111465454102,-7.757486343383789,-3.642920732498169,-3.518221855163574,-3.9862327575683594,-3.7241716384887695
149,-4.812509059906006,-4.1498188972473145,-7.411738395690918,-6.898847579956055,-3.518221855163574,-3.642920732498169,-4.16688346862793,-4.149819374084473
150,-5.755647659301758,-5.463458061218262,-8.208294868469238,-7.673304557800293,-3.642920732498169,-3.518221855163574,-4.149819374084473,-4.16688346862793
151,-6.23736047744751,-5.414740562438965,-4.861018657684326,-4.6546220779418945,-3.068690299987793,-3.3437111377716064,-2.9246654510498047,-3.0696446895599365
152,-8.318516731262207,-8.446534156799316,-6.01054573059082,-5.409002304077148,-3.3437111377716064,-3.068690299987793,-3.0696446895599365,-2.9246654510498047
153,-6.23736047744751,-5.414740562438965,-7.52147912979126,-7.644892692565918,-3.068690299987793,-3.3437111377716064,-3.7241716384887695,-3.9862327575683594
154,-8.318516731262207,-8.446534156799316,-8.870111465454102,-7.757486343383789,-3.3437111377716064,-3.068690299987793,-3.9862327575683594,-3.7241716384887695
155,-6.23736047744751,-5.414740562438965,-7.411738395690918,-6.898847579956055,-3.068690299987793,-3.3437111377716064,-4.16688346862793,-4.149819374084473
156,-8.318516731262207,-8.446534156799316,-8.208294868469238,-7.673304557800293,-3.3437111377716064,-3.068690299987793,-4.149819374084473,-4.16688346862793
157,-4.899136066436768,-4.891647815704346,-4.861018657684326,-4.6546220779418945,-2.586867332458496,-2.665959358215332,-2.9246654510498047,-3.0696446895599365
158,-6.137910842895508,-6.089752674102783,-6.01054573059082,-5.409002304077148,-2.665959358215332,-2.586867332458496,-3.0696446895599365,-2.9246654510498047
159,-4.899136066436768,-4.891647815704346,-7.52147912979126,-7.644892692565918,-2.586867332458496,-2.665959358215332,-3.7241716384887695,-3.9862327575683594
160,-6.137910842895508,-6.089752674102783,-8.870111465454102,-7.757486343383789,-2.665959358215332,-2.586867332458496,-3.9862327575683594,-3.7241716384887695
161,-4.899136066436768,-4.891647815704346,-7.411738395690918,-6.898847579956055,-2.586867332458496,-2.665959358215332,-4.16688346862793,-4.149819374084473
162,-6.137910842895508,-6.089752674102783,-8.208294868469238,-7.673304557800293,-2.665959358215332,-2.586867332458496,-4.149819374084473,-4.16688346862793
163,-6.257473468780518,-5.572511672973633,-5.046324253082275,-5.724445343017578,-3.518221855163574,-3.642920732498169,-2.9246654510498047,-3.0696446895599365
164,-5.477880001068115,-4.41784143447876,-5.053769588470459,-4.445071220397949,-3.642920732498169,-3.518221855163574,-3.0696446895599365,-2.9246654510498047
165,-6.257473468780518,-5.572511672973633,-7.304732322692871,-8.02592658996582,-3.518221855163574,-3.642920732498169,-3.7241716384887695,-3.9862327575683594
166,-5.477880001068115,-4.41784143447876,-8.074827194213867,-7.176057815551758,-3.642920732498169,-3.518221855163574,-3.9862327575683594,-3.7241716384887695
167,-6.257473468780518,-5.572511672973633,-7.298548221588135,-8.144073486328125,-3.518221855163574,-3.642920732498169,-4.16688346862793,-4.149819374084473
168,-5.477880001068115,-4.41784143447876,-8.064126014709473,-7.381156921386719,-3.642920732498169,-3.518221855163574,-4.149819374084473,-4.16688346862793
169,-8.035959243774414,-6.866337776184082,-5.046324253082275,-5.724445343017578,-3.068690299987793,-3.3437111377716064,-2.9246654510498047,-3.0696446895599365
170,-5.817745685577393,-6.182518005371094,-5.053769588470459,-4.445071220397949,-3.3437111377716064,-3.068690299987793,-3.0696446895599365,-2.9246654510498047
171,-8.035959243774414,-6.866337776184082,-7.304732322692871,-8.02592658996582,-3.068690299987793,-3.3437111377716064,-3.7241716384887695,-3.9862327575683594
172,-5.817745685577393,-6.182518005371094,-8.074827194213867,-7.176057815551758,-3.3437111377716064,-3.068690299987793,-3.9862327575683594,-3.7241716384887695
173,-8.035959243774414,-6.866337776184082,-7.298548221588135,-8.144073486328125,-3.068690299987793,-3.3437111377716064,-4.16688346862793,-4.149819374084473
174,-5.817745685577393,-6.182518005371094,-8.064126014709473,-7.381156921386719,-3.3437111377716064,-3.068690299987793,-4.149819374084473,-4.16688346862793
175,-5.329464435577393,-5.314128875732422,-5.046324253082275,-5.724445343017578,-2.586867332458496,-2.665959358215332,-2.9246654510498047,-3.0696446895599365
176,-5.640576362609863,-5.138562202453613,-5.053769588470459,-4.445071220397949,-2.665959358215332,-2.586867332458496,-3.0696446895599365,-2.9246654510498047
177,-5.329473495483398,-5.314140319824219,-7.304751396179199,-8.025920867919922,-2.586867332458496,-2.665959358215332,-3.7241716384887695,-3.9862327575683594
178,-5.640584945678711,-5.1385674476623535,-8.074830055236816,-7.17606258392334,-2.665959358215332,-2.586867332458496,-3.9862327575683594,-3.7241716384887695
179,-5.329473495483398,-5.314140319824219,-7.298552513122559,-8.144075393676758,-2.586867332458496,-2.665959358215332,-4.16688346862793,-4.149819374084473
180,-5.640584945678711,-5.1385674476623535,-8.064140319824219,-7.381160259246826,-2.665959358215332,-2.586867332458496,-4.149819374084473,-4.16688346862793
181,-5.086114883422852,-4.82784366607666,-4.551185131072998,-4.837247848510742,-3.316429376602173,-3.904353618621826,-3.353454113006592,-3.944512367248535
182,-6.526296138763428,-5.904049873352051,-6.509591579437256,-5.722301006317139,-3.904353618621826,-3.316429376602173,-3.944512367248535,-3.353454113006592
183,-5.086114883422852,-4.82784366607666,-7.185054779052734,-7.619995594024658,-3.316429376602173,-3.904353618621826,-4.035037994384766,-4.779915809631348
