idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
14,-3.662468433380127,-3.1692721843719482,-3.275588274002075,-2.7510619163513184,-2.846214532852173,-2.7721619606018066,-2.9778895378112793,-2.866837501525879
15,-3.223459482192993,-2.8128843307495117,-3.8242294788360596,-3.846289873123169,-2.7721619606018066,-2.846214532852173,-3.799917697906494,-4.008906364440918
16,-3.662468433380127,-3.1692721843719482,-3.876591920852661,-3.4836466312408447,-2.846214532852173,-2.7721619606018066,-4.008906364440918,-3.799917697906494
17,-3.2234609127044678,-2.8128881454467773,-3.412668228149414,-3.374953269958496,-2.7721619606018066,-2.846214532852173,-4.148251056671143,-4.221569538116455
18,-3.662471055984497,-3.1692769527435303,-3.5285048484802246,-3.111077070236206,-2.846214532852173,-2.7721619606018066,-4.221569538116455,-4.148251056671143
19,-2.8341050148010254,-1.9698233604431152,-3.125159502029419,-2.5044264793395996,-3.5103306770324707,-3.578932762145996,-3.234431743621826,-3.422567129135132
20,-3.062232494354248,-2.6896989345550537,-3.013183116912842,-2.8499467372894287,-3.578932762145996,-3.5103306770324707,-3.422567129135132,-3.234431743621826
21,-2.8341050148010254,-1.9698233604431152,-3.686321973800659,-3.155714511871338,-3.5103306770324707,-3.578932762145996,-4.030274391174316,-4.3499436378479
22,-3.062232494354248,-2.6896989345550537,-3.1794238090515137,-3.0364596843719482,-3.578932762145996,-3.5103306770324707,-4.3499436378479,-4.030274391174316
23,-2.8341050148010254,-1.9698233604431152,-3.6477832794189453,-3.095574378967285,-3.5103306770324707,-3.578932762145996,-4.198935508728027,-4.3244781494140625
24,-3.062232494354248,-2.6896989345550537,-3.0582809448242188,-2.9338979721069336,-3.578932762145996,-3.5103306770324707,-4.3244781494140625,-4.198935508728027
25,-3.6280267238616943,-2.792776107788086,-3.125159502029419,-2.5044264793395996,-3.580639600753784,-3.8209471702575684,-3.234431743621826,-3.422567129135132
26,-3.4694948196411133,-3.206808567047119,-3.013183116912842,-2.8499467372894287,-3.8209471702575684,-3.580639600753784,-3.422567129135132,-3.234431743621826
27,-3.6280267238616943,-2.792776107788086,-3.686321973800659,-3.155714511871338,-3.580639600753784,-3.8209471702575684,-4.030274391174316,-4.3499436378479
