idx,cont_type,cont_target,avg_logprob,model_name
28,event association,arc,-3.3115018367767335,EleutherAI_pythia-6.9b-deduped
28,event association,mc,-3.357945203781128,EleutherAI_pythia-6.9b-deduped
28,lexical overlap,arc,-3.198585033416748,EleutherAI_pythia-6.9b-deduped
28,lexical overlap,mc,-3.171536445617676,EleutherAI_pythia-6.9b-deduped
28,situational inference,arc,-3.327786111831665,EleutherAI_pythia-6.9b-deduped
28,situational inference,mc,-3.459874963760376,EleutherAI_pythia-6.9b-deduped
29,event association,arc,-3.898974084854126,EleutherAI_pythia-6.9b-deduped
29,event association,mc,-3.8617873668670653,EleutherAI_pythia-6.9b-deduped
29,lexical overlap,arc,-3.720170593261719,EleutherAI_pythia-6.9b-deduped
29,lexical overlap,mc,-3.3762221336364746,EleutherAI_pythia-6.9b-deduped
29,situational inference,arc,-3.7011435985565186,EleutherAI_pythia-6.9b-deduped
29,situational inference,mc,-3.6561375141143797,EleutherAI_pythia-6.9b-deduped
30,event association,arc,-4.124216938018799,EleutherAI_pythia-6.9b-deduped
30,event association,mc,-4.235976314544677,EleutherAI_pythia-6.9b-deduped
30,lexical overlap,arc,-4.103214931488037,EleutherAI_pythia-6.9b-deduped
30,lexical overlap,mc,-4.024889135360718,EleutherAI_pythia-6.9b-deduped
30,situational inference,arc,-4.426337432861328,EleutherAI_pythia-6.9b-deduped
30,situational inference,mc,-4.347169876098633,EleutherAI_pythia-6.9b-deduped
